Name,Last name,First name(s),Links,Former name,Known as name,Default publishing name,Created date,Last modified date,Pure ID,ISNI,Digital author ID,Scopus Author ID,ORCID,Organisational unit name
"Mocanu, Elena",Mocanu,Elena,https://scholar.google.nl/citations?user=JLD5uy0AAAAJ&hl=en,,,,2019-03-01 21:00:28.172,2024-03-15 23:52:19.461,94496067,0000000503158484,,23005384000,0000-0002-0856-579X,Datamanagement & Biometrics | Digital Society Institute
"Izzo, Danilo",Izzo,Danilo,,,,,2019-03-01 21:00:27.697,2023-03-09 23:54:54.091,94495917,000000050369683X,,,,Digital Society Institute | Power Electronics
"Berfelo, Tom",Berfelo,Tom,,,,,2019-03-01 21:00:22.058,2024-02-10 23:53:41.583,94495712,,,57404889100,0000-0003-1420-9561,Biomedical Signals and Systems
"de Kruiff, Edo Albert Gregor",de Kruiff,Edo Albert Gregor,,,,,2019-03-01 21:00:19.051,2023-03-15 12:54:02.562,94495653,0000000503374398,,,,
"Kooijman, Lucas Johannes",Kooijman,Lucas Johannes,,,,,2019-03-01 21:00:17.769,2024-01-17 23:54:28.662,94495632,,,,0000-0002-3106-6462,MESA+ Institute | Mesoscale Chemical Systems
"Esmaeeli, Hanieh",Esmaeeli,Hanieh,,,,,2019-02-26 21:00:24.449,2024-01-26 23:52:44.942,93808000,0000000512254945,,,0000-0002-7578-8395,Digital Society Institute | Robotics and Mechatronics
"van der Ham - de Vos, Jeroen",van der Ham - de Vos,Jeroen,https://www.jvdham.nl,,,"van der Ham, Jeroen",2019-02-21 21:00:27.817,2024-03-01 21:31:23.995,92620838,0000000397116132,,22036877900,0000-0002-5685-8714,Design and Analysis of Communication Systems | Digital Society Institute
"van der Kamp, Mattiènne Ricard",van der Kamp,Mattiènne Ricard,,,"van der Kamp, Mattiènne R.",,2019-02-18 21:00:25.115,2024-03-18 23:53:31.756,92146158,0000000512332413,,57208215305,0000-0003-3053-2342,Biomedical Signals and Systems
"van Doorn, Jeroen Lambertus Maria",van Doorn,Jeroen Lambertus Maria,,,,,2019-02-15 21:01:48.195,2022-12-15 00:55:26.152,91408058,,,,,
"Broccoli, Alessia",Broccoli,Alessia,,,,,2019-02-15 21:01:47.402,2024-03-01 02:00:44.211,91407980,0000000512279712,,,,
"Carnevale, Luca",Carnevale,Luca,,,,,2019-02-15 21:01:47.315,2024-03-01 02:00:45.555,91407962,0000000513150603,,,,
"Zhou, Ran",Zhou,Ran,,,,,2019-02-15 21:01:45.867,2023-08-15 21:30:22.186,91407900,,,,,MESA+ Institute | Power Electronics
"Hurmuz, Marian Zuhair Mikho",Hurmuz,Marian Zuhair Mikho,https://www.linkedin.com/in/marianhurmuz/,,"Hurmuz, Marian Z.M.",,2019-02-14 21:00:41.496,2024-03-18 00:02:19.558,91175542,0000000503683668,,57200644399,0000-0003-0070-5521,Biomedical Signals and Systems | TechMed Centre
"Gkatsi, Vasiliki",Gkatsi,Vasiliki,https://www.linkedin.com/in/vasiliki-vasso-gkatsi-8b1756191/,,Vasso,,2019-02-05 21:00:35.097,2024-03-05 23:50:49.078,89022748,0000000501814935,,,0000-0002-5917-1889,Power Electronics
"Mak, Yoeko Xavier",Mak,Yoeko Xavier,,,,,2019-02-01 21:00:47.681,2024-02-08 23:53:17.786,88069513,,,,,
"Bulthuis, Roos Marije",Bulthuis,Roos Marije,https://www.linkedin.com/in/roos-bulthuis-06a576148/ | https://www.researchgate.net/profile/Roos-Bulthuis,,"Bulthuis, Roos M.",,2019-02-01 21:00:47.678,2024-02-10 23:51:03.173,88069502,0000000509754367,,,0000-0002-5129-5211,
